graph	algo	size	time	opt	seed	mem
msc10848.mtx.hgr.random100	rsatreduce	88	0.10918	1	1	20480
dictionary28.mtx.hgr.random100	rsatreduce	28711	3600.08	0	203	18432
msc10848.mtx.hgr.random100	rsatreduce	88	0.10915	1	21	20480
dictionary28.mtx.hgr.random100	rsatreduce	28711	3600.08	0	1002	18432
msc10848.mtx.hgr.random100	rsatreduce	88	0.10388	1	203	20480
msc10848.mtx.hgr.random100	rsatreduce	88	0.1038	1	1002	20480
mult_dcop_01.mtx.hgr.random100.rendered	rsatreduce	1540	0.06308	1	1	10240
mult_dcop_01.mtx.hgr.random100.rendered	rsatreduce	1540	0.05916	1	21	10240
mult_dcop_01.mtx.hgr.random100.rendered	rsatreduce	1540	0.05883	1	203	10240
mult_dcop_01.mtx.hgr.random100.rendered	rsatreduce	1540	0.05976	1	1002	10240
poli3.mtx.hgr.random100	rsatreduce	3523	0.01326	1	1	7168
poli3.mtx.hgr.random100	rsatreduce	3523	0.01237	1	21	7168
poli3.mtx.hgr.random100	rsatreduce	3523	0.00666	1	203	7168
garon2.mtx.hgr.random100	rsatreduce	7	3600.05	0	1	11264
poli3.mtx.hgr.random100	rsatreduce	3523	0.01322	1	1002	7168
garon2.mtx.hgr.random100	rsatreduce	7	3600.05	0	21	11264
psse2.mtx.hgr.random100	rsatreduce	3098	0.06748	1	1	8192
garon2.mtx.hgr.random100	rsatreduce	7	3600.05	0	203	11264
psse2.mtx.hgr.random100	rsatreduce	3098	0.0646	1	21	8192
garon2.mtx.hgr.random100	rsatreduce	7	3600.05	0	1002	11264
psse2.mtx.hgr.random100	rsatreduce	3098	0.04892	1	203	8192
psse2.mtx.hgr.random100	rsatreduce	3098	0.06444	1	1002	8192
sat14_6s11-opt.cnf.hgr.random100	rsatreduce	30343	0.23252	1	1	28672
sat14_6s11-opt.cnf.hgr.random100	rsatreduce	30343	0.23278	1	21	28672
sat14_6s11-opt.cnf.hgr.random100	rsatreduce	30343	0.23556	1	203	28672
sat14_6s11-opt.cnf.hgr.random100	rsatreduce	30343	0.23239	1	1002	28672
sat14_6s12.cnf.hgr.random100	rsatreduce	31353	3.28327	1	1	30720
sat14_6s12.cnf.hgr.random100	rsatreduce	31353	3.26157	1	21	30720
sat14_6s130-opt.cnf.hgr.random100	rsatreduce	45782	0.40163	1	1	40960
sat14_6s12.cnf.hgr.random100	rsatreduce	31353	3.26202	1	203	30720
sat14_6s130-opt.cnf.hgr.random100	rsatreduce	45782	0.40004	1	21	40960
sat14_6s12.cnf.hgr.random100	rsatreduce	31353	3.27145	1	1002	30720
sat14_6s130-opt.cnf.hgr.random100	rsatreduce	45782	0.40159	1	203	40960
sat14_6s130-opt.cnf.hgr.random100	rsatreduce	45782	0.40122	1	1002	40960
ISPD98_ibm11.hgr.random100	rsatreduce	10397	3600.44	0	1	42600
ISPD98_ibm11.hgr.random100	rsatreduce	10397	3600.44	0	21	42604
ISPD98_ibm11.hgr.random100	rsatreduce	10397	3600.44	0	203	42604
ISPD98_ibm11.hgr.random100	rsatreduce	10397	3600.44	0	1002	42836
lp_pds_20.mtx.hgr.random100	rsatreduce	6380	3600.53	0	1	65220
lp_pds_20.mtx.hgr.random100	rsatreduce	6380	3600.53	0	21	65236
lp_pds_20.mtx.hgr.random100	rsatreduce	6380	3600.54	0	203	65240
lp_pds_20.mtx.hgr.random100	rsatreduce	6380	3600.54	0	1002	64744
sat14_6s184.cnf.hgr.random100	rsatreduce	30630	4.61193	1	1	30720
sat14_6s184.cnf.hgr.random100	rsatreduce	30630	4.61222	1	21	30720
sat14_6s184.cnf.hgr.random100	rsatreduce	30630	4.61319	1	203	30720
sat14_AProVE07-27.cnf.dual.hgr.random100	rsatreduce	3165	2.47117	1	1	25600
sat14_6s184.cnf.hgr.random100	rsatreduce	30630	4.62384	1	1002	30720
sat14_AProVE07-27.cnf.dual.hgr.random100	rsatreduce	3165	2.48114	1	21	25600
sat14_AProVE07-27.cnf.dual.hgr.random100	rsatreduce	3165	2.47333	1	203	25600
sat14_AProVE07-27.cnf.dual.hgr.random100	rsatreduce	3165	2.46702	1	1002	25600
sat14_6s130-opt.cnf.primal.hgr.random100	rsatreduce	10008	3600.16	0	1	33792
sat14_6s130-opt.cnf.primal.hgr.random100	rsatreduce	10008	3600.16	0	21	33792
sat14_6s130-opt.cnf.primal.hgr.random100	rsatreduce	10008	3600.16	0	203	33792
sat14_6s130-opt.cnf.primal.hgr.random100	rsatreduce	10008	3600.16	0	1002	33792
sat14_6s133.cnf.primal.hgr.random100	rsatreduce	8986	3600.15	0	1	33792
sat14_6s133.cnf.primal.hgr.random100	rsatreduce	8986	3600.15	0	21	33792
sat14_6s133.cnf.primal.hgr.random100	rsatreduce	8986	3600.15	0	203	33792
sat14_6s133.cnf.primal.hgr.random100	rsatreduce	8986	3600.15	0	1002	33792
sat14_6s16.cnf.primal.hgr.random100	rsatreduce	5092	3600.14	0	1	23552
sat14_6s16.cnf.primal.hgr.random100	rsatreduce	5092	3600.13	0	21	23552
sat14_6s16.cnf.primal.hgr.random100	rsatreduce	5092	3600.14	0	203	23552
sat14_6s16.cnf.primal.hgr.random100	rsatreduce	5092	3600.14	0	1002	23552
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rsatreduce	1958	3669.03	0	1	2546368
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rsatreduce	1958	3668.86	0	21	2546628
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rsatreduce	1958	3668.45	0	203	2546324
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	rsatreduce	1958	3668.27	0	1002	2546320
sat14_bob12m09-opt.cnf.dual.hgr.random100	rsatreduce	2	3603.37	0	1	180552
sat14_bob12m09-opt.cnf.dual.hgr.random100	rsatreduce	2	3603.27	0	21	181052
sat14_bob12m09-opt.cnf.dual.hgr.random100	rsatreduce	2	3603.25	0	203	181052
sat14_bob12m09-opt.cnf.dual.hgr.random100	rsatreduce	2	3603.27	0	1002	180944
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rsatreduce	1502	3606.9	0	1	714328
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rsatreduce	1502	3607.1	0	21	714328
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rsatreduce	1502	3607.02	0	203	714328
sat14_atco_enc1_opt2_10_12.cnf.dual.hgr.random100	rsatreduce	1502	3606.89	0	1002	714328
sat14_dated-10-11-u.cnf.hgr.random100	rsatreduce	81041	3600.37	0	1	142284
sat14_dated-10-11-u.cnf.hgr.random100	rsatreduce	81041	3600.37	0	21	142304
sat14_dated-10-11-u.cnf.hgr.random100	rsatreduce	81041	3600.37	0	203	142304
sat14_dated-10-11-u.cnf.hgr.random100	rsatreduce	81041	3600.37	0	1002	141940
sat14_dated-10-17-u.cnf.hgr.random100	rsatreduce	129101	3600.68	0	1	249940
sat14_dated-10-17-u.cnf.hgr.random100	rsatreduce	129101	3600.68	0	21	249744
sat14_dated-10-17-u.cnf.hgr.random100	rsatreduce	129101	3600.68	0	203	249940
sat14_dated-10-17-u.cnf.hgr.random100	rsatreduce	129101	3600.67	0	1002	250080
sat14_E02F22.cnf.primal.hgr.random100	rsatreduce	594	403.992	1	1	247796
