graph	algo	n	m	gn	gm	rn	rm	offset	time	seed	mem
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1213331	4754042	1213331	5626175	377934	750202	317433	7.69564	1	622708
dac2012_superblue9.hgr.random100	graphred15	844332	833808	844332	217262717	95342	8572987	168679	1295.24775	21	3717924
dac2012_superblue9.hgr.random100	graphred15	844332	833808	844332	217262717	95342	8572987	168679	1293.56962	203	3717928
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1213331	4754042	1213331	5626175	377934	750202	317433	7.70401	21	622708
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1213331	4754042	1213331	5626175	377934	750202	317433	7.69040	203	622704
dac2012_superblue9.hgr.random100	graphred15	844332	833808	844332	217262717	95342	8572987	168679	1291.55742	1002	3717924
sat14_SAT_dat.k75-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1213331	4754042	1213331	5626175	377934	750202	317433	7.68955	1002	622708
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	graphred15	2712808	5395102	2712808	10949389	1694059	4340759	413237	60.50697	1	1045932
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	graphred15	2712808	5395102	2712808	10949389	1694059	4340759	413237	60.47265	21	1045936
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	graphred15	2712808	5395102	2712808	10949389	1694059	4340759	413237	60.32105	203	1045936
sat14_SAT_dat.k85-24_1_rule_3.cnf.hgr.random100	graphred15	2712808	5395102	2712808	10949389	1694059	4340759	413237	60.38029	1002	1045936
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1540071	6036162	1540071	7142935	480494	953622	402433	9.76031	1	787800
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	graphred15	94998	302862	94998	6386470	0	0	32017	0.67021	1	138240
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1540071	6036162	1540071	7142935	480494	953622	402433	9.75133	21	787796
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	graphred15	94998	302862	94998	6386470	0	0	32017	0.68747	21	138240
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	graphred15	94998	302862	94998	6386470	0	0	32017	0.68988	203	138240
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1540071	6036162	1540071	7142935	480494	953622	402433	9.74313	203	787800
sat14_slp-synthesis-aes-top29.cnf.primal.hgr.random100	graphred15	94998	302862	94998	6386470	0	0	32017	0.69160	1002	138240
sat14_SAT_dat.k95-24_1_rule_3.cnf.primal.hgr.random100	graphred15	1540071	6036162	1540071	7142935	480494	953622	402433	9.75064	1002	787800
sat14_UCG-15-10p1.cnf.hgr.random100	graphred15	400006	1019221	400006	2077960	55167	546021	127051	0.38056	1	176424
sat14_UCG-15-10p1.cnf.hgr.random100	graphred15	400006	1019221	400006	2077960	55167	546021	127051	0.37622	21	176440
sat14_UCG-15-10p1.cnf.hgr.random100	graphred15	400006	1019221	400006	2077960	55167	546021	127051	0.37483	203	176440
sat14_UCG-15-10p1.cnf.hgr.random100	graphred15	400006	1019221	400006	2077960	55167	546021	127051	0.37630	1002	176436
sat14_UCG-15-10p1.cnf.primal.hgr.random100	graphred15	200003	1019221	200003	1400466	155379	853234	703	0.56576	1	137912
sat14_UCG-15-10p1.cnf.primal.hgr.random100	graphred15	200003	1019221	200003	1400466	155379	853234	703	0.56597	21	137912
sat14_UCG-15-10p1.cnf.primal.hgr.random100	graphred15	200003	1019221	200003	1400466	155379	853234	703	0.57791	203	137776
sat14_UCG-15-10p1.cnf.primal.hgr.random100	graphred15	200003	1019221	200003	1400466	155379	853234	703	0.56003	1002	137916
shermanACb.mtx.hgr.random100.rendered	graphred15	18510	18510	18510	74214440	0	0	1912	10.90545	1	1168384
shermanACb.mtx.hgr.random100.rendered	graphred15	18510	18510	18510	74214440	0	0	1912	10.90808	21	1168384
shermanACb.mtx.hgr.random100.rendered	graphred15	18510	18510	18510	74214440	0	0	1912	10.91478	203	1168384
shermanACb.mtx.hgr.random100.rendered	graphred15	18510	18510	18510	74214440	0	0	1912	10.92045	1002	1168384
ship_001.mtx.hgr.random100	graphred15	34920	34920	34920	12782809	3133	96045	7	2.84723	1	264192
ship_001.mtx.hgr.random100	graphred15	34920	34920	34920	12782809	3133	96045	7	2.82417	21	264192
ship_001.mtx.hgr.random100	graphred15	34920	34920	34920	12782809	3133	96045	7	2.84632	203	264192
sls.mtx.hgr.random100	graphred15	62729	1748122	62729	2328114	62239	1539551	200	0.95962	1	207144
ship_001.mtx.hgr.random100	graphred15	34920	34920	34920	12782809	3133	96045	7	2.84706	1002	264192
sls.mtx.hgr.random100	graphred15	62729	1748122	62729	2328114	62239	1539551	200	0.94587	21	207088
sls.mtx.hgr.random100	graphred15	62729	1748122	62729	2328114	62239	1539551	200	0.93401	203	207144
sls.mtx.hgr.random100	graphred15	62729	1748122	62729	2328114	62239	1539551	200	0.94871	1002	207088
soc-sign-epinions.mtx.hgr.random100	graphred15	131828	95318	131828	37006897	0	0	70473	5.56504	1	614400
soc-sign-epinions.mtx.hgr.random100	graphred15	131828	95318	131828	37006897	0	0	70473	5.57952	21	614400
soc-sign-epinions.mtx.hgr.random100	graphred15	131828	95318	131828	37006897	0	0	70473	5.60887	203	614400
soc-sign-epinions.mtx.hgr.random100	graphred15	131828	95318	131828	37006897	0	0	70473	5.61643	1002	614400
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	graphred15	30798	30798	30798	116851989	0	0	7556	62.45720	1	1854464
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	graphred15	30798	30798	30798	116851989	0	0	7556	62.58161	21	1854464
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	graphred15	30798	30798	30798	116851989	0	0	7556	62.40293	203	1854464
xenon2.mtx.hgr.random100	graphred15	157464	157464	157464	6939873	51656	747917	99	1.69973	1	183776
xenon2.mtx.hgr.random100	graphred15	157464	157464	157464	6939873	51656	747917	99	1.72360	21	183780
TSOPF_FS_b162_c3.mtx.hgr.random100.rendered	graphred15	30798	30798	30798	116851989	0	0	7556	62.56055	1002	1854464
xenon2.mtx.hgr.random100	graphred15	157464	157464	157464	6939873	51656	747917	99	1.70326	203	182776
xenon2.mtx.hgr.random100	graphred15	157464	157464	157464	6939873	51656	747917	99	1.71280	1002	182772
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	graphred15	973984	2456708	973984	5430512	108208	504814	450374	2320.04377	1	416208
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	graphred15	973984	2456708	973984	5430512	108208	504814	450374	2458.46439	21	417188
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	graphred15	973984	2456708	973984	5430512	108208	504814	450374	2459.45650	203	417188
sat14_q_query_3_L150_coli.sat.cnf.hgr.random100	graphred15	973984	2456708	973984	5430512	108208	504814	450374	2455.46729	1002	417184
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	graphred15	1575975	266199	1575975	446518601	871217	124000576	56220	3659.46560	203	8321512
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	graphred15	1575975	266199	1575975	446518601	871217	124000576	56220	3670.27090	21	8321512
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	graphred15	1575975	266199	1575975	446518601	871217	124000576	56220	3672.44678	1	8321564
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	graphred15	1575975	266199	1575975	446518601	871217	124000576	56220	3678.99326	1002	8322168
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	graphred15	1607567	276895	1607567	453121947	878768	124613972	58591	3706.83738	1	8427188
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	graphred15	1607567	276895	1607567	453121947	878768	124613972	58591	3713.34266	21	8427184
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	graphred15	1607567	276895	1607567	453121947	878768	124613972	58591	3713.26580	203	8427812
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	graphred15	1607567	276895	1607567	453121947	878768	124613972	58591	3714.11896	1002	8427812
