graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121311	112288	3.64	150933	74.28287	1002	914620
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330809	307276	3.76	205681	80.78089	21	3037184
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330809	307276	3.76	205681	80.65543	203	3037184
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330809	307276	3.76	205681	80.47679	1002	3037184
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211904	215408	3.13	232363	69.55991	1	917724
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162776	116749	4.37	173431	59.93599	1	1296424
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162776	116749	4.37	173431	60.05924	21	1296428
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162776	116749	4.37	173431	60.00679	203	1296428
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162776	116749	4.37	173431	59.94712	1002	1296424
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211904	215408	3.13	232363	70.28438	21	917720
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211904	215408	3.13	232363	69.87944	203	917720
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211904	215408	3.13	232363	70.07260	1002	917720
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212952	198386	3.37	197068	92.77876	1	1331960
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.12124	1	23552
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212952	198386	3.37	197068	93.33322	21	1331960
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.11948	21	23552
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.12259	203	23552
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212952	198386	3.37	197068	93.39085	203	1331960
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212952	198386	3.37	197068	92.59234	1002	1331960
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.12139	1002	23552
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.05532	1	13312
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.05099	21	13312
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.05104	203	13312
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.05154	1002	13312
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02852	1	11264
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02822	21	11264
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02806	203	11264
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02791	1002	11264
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.12614	1	10240
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.12122	21	10240
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.12191	203	10240
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.12200	1002	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.10481	1	19456
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.10470	21	19456
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.11099	203	19456
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.10405	1002	19456
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150769	122822	3.79	257674	85.39838	1	2036160
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150769	122822	3.79	257674	85.47509	21	2036164
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150769	122822	3.79	257674	84.53448	203	2036164
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.43179	1	36864
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.42620	21	36864
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150769	122822	3.79	257674	85.62407	1002	2036164
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.42841	203	36864
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.42253	1002	36864
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.46482	1	36864
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	31.60352	1	856064
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.46062	21	36864
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	31.28758	21	856064
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	30.97364	203	856064
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.45931	203	36864
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.45137	1002	36864
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	30.96928	1002	856064
