graph	algo	n	m	rn	rm	gm	rgm	seed
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	reduce8	1607567	276895	664448	124761	453121947	104698736	203
sat14_post-cbmc-aes-d-r2-noholes.cnf.dual.hgr.random100	reduce8	1607567	276895	664448	124761	453121947	104698736	1002
dac2012_superblue9.hgr.random100	reduce8	844332	833808	95304	58696	217262717	8571157	1
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	reduce8	1575975	266199	661681	122512	446518601	104544352	1
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	reduce8	1575975	266199	661681	122512	446518601	104544352	21
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	reduce8	1575975	266199	661681	122512	446518601	104544352	1002
sat14_post-cbmc-aes-ee-r2-noholes.cnf.dual.hgr.random100	reduce8	1575975	266199	661681	122512	446518601	104544352	203
dac2012_superblue9.hgr.random100	reduce8	844332	833808	95304	58696	217262717	8571157	1002
dac2012_superblue9.hgr.random100	reduce8	844332	833808	95304	58696	217262717	8571157	203
dac2012_superblue9.hgr.random100	reduce8	844332	833808	95304	58696	217262717	8571157	21
