graph	algo	n	m	rn	rm	gm	rgm	seed
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	1
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	21
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	203
dac2012_superblue3.hgr.random100	reduce8	917944	898001	162774	116748	86779664	13565566	1002
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	1
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	21
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	1
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	1002
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	1
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	21
Chebyshev4.mtx.hgr.random100.rendered	reduce8	68121	68121	0	0	2320201260	0	203
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	21
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	203
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	203
dictionary28.mtx.hgr.random100	reduce8	52652	39327	2640	3787	481799	15343	1002
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	212949	198390	94699919	11358247	1002
ex19.mtx.hgr.random100	reduce8	12005	12005	0	0	484689	0	1
ex19.mtx.hgr.random100	reduce8	12005	12005	0	0	484689	0	21
ex19.mtx.hgr.random100	reduce8	12005	12005	0	0	484689	0	203
ex19.mtx.hgr.random100	reduce8	12005	12005	0	0	484689	0	1002
fd18.mtx.hgr.random100	reduce8	16428	16428	13360	13612	99387	80898	1
fd18.mtx.hgr.random100	reduce8	16428	16428	13360	13612	99387	80898	21
fd18.mtx.hgr.random100	reduce8	16428	16428	13360	13612	99387	80898	203
fd18.mtx.hgr.random100	reduce8	16428	16428	13360	13612	99387	80898	1002
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	2061	2256	282665	5582	1
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	2061	2256	282665	5582	21
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	2061	2256	282665	5582	203
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	2061	2256	282665	5582	1002
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	150771	122825	153714989	5391757	203
garon2.mtx.hgr.random100	reduce8	13535	13535	3647	1451	725467	44659	1
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	150771	122825	153714989	5391757	1002
garon2.mtx.hgr.random100	reduce8	13535	13535	3647	1451	725467	44659	21
garon2.mtx.hgr.random100	reduce8	13535	13535	3647	1451	725467	44659	203
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	150771	122825	153714989	5391757	1
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	150771	122825	153714989	5391757	21
garon2.mtx.hgr.random100	reduce8	13535	13535	3647	1451	725467	44659	1002
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	34329	33959	508442	209060	1
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	34329	33959	508442	209060	21
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	34329	33959	508442	209060	203
IMDB.mtx.hgr.random100	reduce8	896308	303617	0	0	57064358	0	1
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	34329	33959	508442	209060	1002
IMDB.mtx.hgr.random100	reduce8	896308	303617	0	0	57064358	0	21
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	25007	23567	748371	178118	1
IMDB.mtx.hgr.random100	reduce8	896308	303617	0	0	57064358	0	203
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	25007	23567	748371	178118	21
IMDB.mtx.hgr.random100	reduce8	896308	303617	0	0	57064358	0	1002
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	25007	23567	748371	178118	203
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	25007	23567	748371	178118	1002
lhr14.mtx.hgr.random100	reduce8	14270	14270	15	16	572463	20	1
lhr14.mtx.hgr.random100	reduce8	14270	14270	15	16	572463	20	21
lhr14.mtx.hgr.random100	reduce8	14270	14270	15	16	572463	20	203
lhr14.mtx.hgr.random100	reduce8	14270	14270	15	16	572463	20	1002
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	60816	16934	1325891	626886	1
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	60816	16934	1325891	626886	21
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	60816	16934	1325891	626886	203
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	60816	16934	1325891	626886	1002
msc10848.mtx.hgr.random100	reduce8	10848	10848	121	113	3087399	285	1
msc10848.mtx.hgr.random100	reduce8	10848	10848	121	113	3087399	285	21
m14b.mtx.hgr.random100	reduce8	214765	214765	180553	199145	8084826	5759682	1
m14b.mtx.hgr.random100	reduce8	214765	214765	180553	199145	8084826	5759682	21
msc10848.mtx.hgr.random100	reduce8	10848	10848	121	113	3087399	285	203
m14b.mtx.hgr.random100	reduce8	214765	214765	180553	199145	8084826	5759682	203
msc10848.mtx.hgr.random100	reduce8	10848	10848	121	113	3087399	285	1002
m14b.mtx.hgr.random100	reduce8	214765	214765	180553	199145	8084826	5759682	1002
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	10770	14952	20490112	99421	1
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	10770	14952	20490112	99421	21
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	10770	14952	20490112	99421	203
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	10770	14952	20490112	99421	1002
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	6899	8619	9779082	495181	1
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	6899	8619	9779082	495181	21
poli3.mtx.hgr.random100	reduce8	16955	16955	0	0	350534	0	1
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	6899	8619	9779082	495181	203
poli3.mtx.hgr.random100	reduce8	16955	16955	0	0	350534	0	21
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	6899	8619	9779082	495181	1002
poli3.mtx.hgr.random100	reduce8	16955	16955	0	0	350534	0	203
poli3.mtx.hgr.random100	reduce8	16955	16955	0	0	350534	0	1002
psse2.mtx.hgr.random100	reduce8	11028	28634	18	18	41162	18	1
psse2.mtx.hgr.random100	reduce8	11028	28634	18	18	41162	18	21
psse2.mtx.hgr.random100	reduce8	11028	28634	18	18	41162	18	203
psse2.mtx.hgr.random100	reduce8	11028	28634	18	18	41162	18	1002
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	0	0	486364995	0	1
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	150322	171201	4458577	1489136	1
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	0	0	486364995	0	21
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	150322	171201	4458577	1489136	21
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	4354	5308	161684	6342	1
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	0	0	486364995	0	203
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	0	0	259188097	0	1
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	150322	171201	4458577	1489136	203
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	4354	5308	161684	6342	21
