graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	76.46588	21	190748
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	77.36419	203	190536
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	76.54038	1002	190744
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	799.49076	1	174264
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	800.53515	203	174268
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	798.65292	1002	174264
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	802.01599	21	174264
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211911	215417	3.13	232358	713.38937	21	276488
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211911	215417	3.13	232358	714.51229	203	276696
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211911	215417	3.13	232358	715.44829	1002	276696
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211911	215417	3.13	232358	718.49904	1	276696
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	729.11233	1	367040
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	729.04585	21	367040
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2638	3785	3.42	28711	1.16900	1	15360
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2638	3785	3.42	28711	1.15846	21	15360
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2638	3785	3.42	28711	1.16244	203	15360
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	730.92266	203	367040
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	730.04839	1002	367036
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01621	1	8192
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2638	3785	3.42	28711	1.17924	1002	15360
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01215	21	8192
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01220	203	8192
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.00938	1002	8192
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.11839	1	8192
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.11583	21	8192
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.11567	203	8192
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.11475	1002	8192
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.36648	1	7168
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.36205	21	7168
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.36299	203	7168
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.36627	1002	7168
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.12701	1	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.12550	21	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.12451	203	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.12369	1002	10240
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.30629	1	200704
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.36394	21	200704
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.38282	203	200704
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.32121	1002	200704
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	2.87699	1	26624
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	2.88253	21	26624
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	2.88981	203	26624
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	2.87723	1002	26624
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25006	23567	3.89	12626	4.53299	1	25600
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25006	23567	3.89	12626	4.09365	21	25600
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.38901	1	69632
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.38557	21	69632
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25006	23567	3.89	12626	4.08724	203	25600
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.38499	203	69632
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25006	23567	3.89	12626	4.08604	1002	25600
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.37852	1002	69632
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.09366	1	9216
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.08758	21	9216
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.08427	203	9216
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.08740	1002	9216
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	1.82233	1	29696
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	1.83038	21	29696
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	1.82580	203	29696
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	1.82979	1002	29696
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	176.97793	1	121856
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.06206	1	19456
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	177.23546	21	121856
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	176.63590	203	121856
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.06266	21	19456
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	176.83268	1002	121856
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.06458	203	19456
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.06061	1002	19456
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05549	1	10240
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05321	21	10240
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05250	203	10240
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05346	1002	10240
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	3.29646	1	68608
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	3.31410	21	68608
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	3.32865	203	68608
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	3.29073	1002	68608
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	64.74448	1	62464
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	64.59767	21	62464
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01323	1	7168
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	64.70277	203	62464
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01188	21	7168
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	64.85722	1002	62464
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01263	203	7168
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01193	1002	7168
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01543	1	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01432	21	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.00838	203	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01392	1002	8192
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150320	171123	7.12	455	22.09949	1	112640
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.16580	1	23552
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150320	171123	7.12	455	22.08996	21	112640
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.16667	21	23552
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150320	171123	7.12	455	22.06490	203	112640
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.16528	203	23552
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150320	171123	7.12	455	22.09648	1002	112640
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.16586	1002	23552
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.36343	1	24576
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.36094	21	24576
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.36203	203	24576
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.36392	1002	24576
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.28291	1	32768
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.28556	21	32768
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162771	116746	4.37	173433	1317.80019	21	244780
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.28257	203	32768
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.28263	1002	32768
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162771	116746	4.37	173433	1324.43196	1	244780
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.45179	1	26624
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162771	116746	4.37	173433	1321.05481	203	244772
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.45043	21	26624
