graph	 seed	 red_n	 red_m	 time	 reduction
as-caida.mtx.hgr.random100	203	0	0	0.00000	unconfined
as-caida.mtx.hgr.random100	1002	0	25026	0.00197	edge_size
as-caida.mtx.hgr.random100	1002	31373	1442	0.01492	node_degree_one
as-caida.mtx.hgr.random100	1002	0	5	0.00010	edge_domination
as-caida.mtx.hgr.random100	1002	0	0	0.00012	fast_node_domination
as-caida.mtx.hgr.random100	1002	6	2	0.00011	node_domination
as-caida.mtx.hgr.random100	1002	0	0	0.00000	twin
as-caida.mtx.hgr.random100	1002	0	0	0.00000	unconfined
BenElechi1.mtx.hgr.random100	1	0	162	0.00237	edge_size
BenElechi1.mtx.hgr.random100	1	57163	1172	0.01637	node_degree_one
BenElechi1.mtx.hgr.random100	1	0	220229	0.20718	edge_domination
BenElechi1.mtx.hgr.random100	1	164203	0	0.47443	fast_node_domination
BenElechi1.mtx.hgr.random100	1	73	0	0.06578	node_domination
BenElechi1.mtx.hgr.random100	1	0	0	0.02654	twin
BenElechi1.mtx.hgr.random100	1	210	0	0.10508	unconfined
BenElechi1.mtx.hgr.random100	21	0	162	0.00212	edge_size
BenElechi1.mtx.hgr.random100	21	57163	1172	0.01618	node_degree_one
BenElechi1.mtx.hgr.random100	21	0	220229	0.20777	edge_domination
BenElechi1.mtx.hgr.random100	21	164203	0	0.47442	fast_node_domination
BenElechi1.mtx.hgr.random100	21	73	0	0.06544	node_domination
BenElechi1.mtx.hgr.random100	21	0	0	0.02660	twin
BenElechi1.mtx.hgr.random100	21	210	0	0.10384	unconfined
BenElechi1.mtx.hgr.random100	203	0	162	0.00212	edge_size
BenElechi1.mtx.hgr.random100	203	57163	1172	0.01617	node_degree_one
BenElechi1.mtx.hgr.random100	203	0	220229	0.20878	edge_domination
BenElechi1.mtx.hgr.random100	203	164203	0	0.47884	fast_node_domination
BenElechi1.mtx.hgr.random100	203	73	0	0.06594	node_domination
BenElechi1.mtx.hgr.random100	203	0	0	0.02723	twin
BenElechi1.mtx.hgr.random100	203	210	0	0.10396	unconfined
bips07_1998.mtx.hgr.random100	1	0	6434	0.00049	edge_size
bips07_1998.mtx.hgr.random100	1	11996	3428	0.00493	node_degree_one
bips07_1998.mtx.hgr.random100	1	0	4483	0.00337	edge_domination
bips07_1998.mtx.hgr.random100	1	873	0	0.00188	fast_node_domination
bips07_1998.mtx.hgr.random100	1	1698	571	0.00250	node_domination
bips07_1998.mtx.hgr.random100	1	181	88	0.00208	twin
bips07_1998.mtx.hgr.random100	1	256	0	0.00229	unconfined
BenElechi1.mtx.hgr.random100	1002	0	162	0.00211	edge_size
BenElechi1.mtx.hgr.random100	1002	57163	1172	0.01646	node_degree_one
BenElechi1.mtx.hgr.random100	1002	0	220229	0.20981	edge_domination
BenElechi1.mtx.hgr.random100	1002	164203	0	0.48815	fast_node_domination
BenElechi1.mtx.hgr.random100	1002	73	0	0.06566	node_domination
BenElechi1.mtx.hgr.random100	1002	0	0	0.02680	twin
BenElechi1.mtx.hgr.random100	1002	210	0	0.10384	unconfined
bips07_1998.mtx.hgr.random100	21	0	6434	0.00024	edge_size
bips07_1998.mtx.hgr.random100	21	11996	3428	0.00252	node_degree_one
bips07_1998.mtx.hgr.random100	21	0	4483	0.00161	edge_domination
bips07_1998.mtx.hgr.random100	21	873	0	0.00102	fast_node_domination
bips07_1998.mtx.hgr.random100	21	1698	571	0.00136	node_domination
bips07_1998.mtx.hgr.random100	21	181	88	0.00112	twin
bips07_1998.mtx.hgr.random100	21	256	0	0.00123	unconfined
bips07_1998.mtx.hgr.random100	203	0	6434	0.00024	edge_size
bips07_1998.mtx.hgr.random100	203	11996	3428	0.00256	node_degree_one
bips07_1998.mtx.hgr.random100	203	0	4483	0.00163	edge_domination
bips07_1998.mtx.hgr.random100	203	873	0	0.00102	fast_node_domination
bips07_1998.mtx.hgr.random100	203	1698	571	0.00134	node_domination
bips07_1998.mtx.hgr.random100	203	181	88	0.00113	twin
bips07_1998.mtx.hgr.random100	203	256	0	0.00124	unconfined
bips07_1998.mtx.hgr.random100	1002	0	6434	0.00042	edge_size
bips07_1998.mtx.hgr.random100	1002	11996	3428	0.00475	node_degree_one
bips07_1998.mtx.hgr.random100	1002	0	4483	0.00301	edge_domination
bips07_1998.mtx.hgr.random100	1002	873	0	0.00190	fast_node_domination
bips07_1998.mtx.hgr.random100	1002	1698	571	0.00247	node_domination
bips07_1998.mtx.hgr.random100	1002	181	88	0.00162	twin
bips07_1998.mtx.hgr.random100	1002	256	0	0.00142	unconfined
bloweya.mtx.hgr.random100	1	0	2	0.00033	edge_size
bloweya.mtx.hgr.random100	1	30004	10000	0.35281	node_degree_one
bloweya.mtx.hgr.random100	1	0	20002	0.00381	edge_domination
bloweya.mtx.hgr.random100	1	0	0	0.00000	fast_node_domination
bloweya.mtx.hgr.random100	1	0	0	0.00000	node_domination
bloweya.mtx.hgr.random100	1	0	0	0.00000	twin
bloweya.mtx.hgr.random100	1	0	0	0.00000	unconfined
bloweya.mtx.hgr.random100	21	0	2	0.00034	edge_size
bloweya.mtx.hgr.random100	21	30004	10000	0.35133	node_degree_one
bloweya.mtx.hgr.random100	21	0	20002	0.00384	edge_domination
bloweya.mtx.hgr.random100	21	0	0	0.00000	fast_node_domination
bloweya.mtx.hgr.random100	21	0	0	0.00000	node_domination
bloweya.mtx.hgr.random100	21	0	0	0.00000	twin
bloweya.mtx.hgr.random100	21	0	0	0.00000	unconfined
bloweya.mtx.hgr.random100	203	0	2	0.00033	edge_size
bloweya.mtx.hgr.random100	203	30004	10000	0.36842	node_degree_one
bloweya.mtx.hgr.random100	203	0	20002	0.00389	edge_domination
bloweya.mtx.hgr.random100	203	0	0	0.00000	fast_node_domination
bloweya.mtx.hgr.random100	203	0	0	0.00000	node_domination
bloweya.mtx.hgr.random100	203	0	0	0.00000	twin
bloweya.mtx.hgr.random100	203	0	0	0.00000	unconfined
bloweya.mtx.hgr.random100	1002	0	2	0.00033	edge_size
bloweya.mtx.hgr.random100	1002	30004	10000	0.35202	node_degree_one
bloweya.mtx.hgr.random100	1002	0	20002	0.00381	edge_domination
bloweya.mtx.hgr.random100	1002	0	0	0.00000	fast_node_domination
bloweya.mtx.hgr.random100	1002	0	0	0.00000	node_domination
bloweya.mtx.hgr.random100	1002	0	0	0.00000	twin
bloweya.mtx.hgr.random100	1002	0	0	0.00000	unconfined
ca-CondMat.mtx.hgr.random100	1	0	14459	0.00085	edge_size
ca-CondMat.mtx.hgr.random100	1	21098	2729	0.02956	node_degree_one
ca-CondMat.mtx.hgr.random100	1	0	5338	0.00285	edge_domination
ca-CondMat.mtx.hgr.random100	1	517	0	0.00075	fast_node_domination
ca-CondMat.mtx.hgr.random100	1	1506	601	0.00077	node_domination
ca-CondMat.mtx.hgr.random100	1	12	6	0.00079	twin
ca-CondMat.mtx.hgr.random100	1	0	0	0.00000	unconfined
c-64.mtx.hgr.random100	1	0	5724	0.00047	edge_size
c-64.mtx.hgr.random100	1	50907	22598	4.29772	node_degree_one
c-64.mtx.hgr.random100	1	0	22711	0.00500	edge_domination
c-64.mtx.hgr.random100	1	124	0	0.00031	fast_node_domination
c-64.mtx.hgr.random100	1	0	0	0.00018	node_domination
c-64.mtx.hgr.random100	1	4	2	0.00175	twin
c-64.mtx.hgr.random100	1	0	0	0.00000	unconfined
c-64.mtx.hgr.random100	21	0	5724	0.00047	edge_size
c-64.mtx.hgr.random100	21	50907	22598	4.22017	node_degree_one
c-64.mtx.hgr.random100	21	0	22711	0.00499	edge_domination
c-64.mtx.hgr.random100	21	124	0	0.00030	fast_node_domination
