graph	algo	n	m	e	rn	rm	re	offset	time	seed	mem
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91365	98828	2.76	230997	18.64768	21	512720
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91365	98828	2.76	230997	18.58864	203	512724
dac2012_superblue11.hgr.random100	reduce8	952507	935731	3.28	91365	98828	2.76	230997	18.65003	1002	512728
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	9.47482	1	330012
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	9.46148	21	330008
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	9.47495	203	330008
dac2012_superblue16.hgr.random100	reduce8	698339	697458	3.27	94070	95857	2.93	189953	9.50580	1002	330008
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330820	307284	3.76	205677	37.75436	1	1054720
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330820	307284	3.76	205677	37.79636	21	1054720
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330820	307284	3.76	205677	37.89435	203	1054720
dac2012_superblue12.hgr.random100	reduce8	1291931	1293436	3.69	330820	307284	3.76	205677	37.92785	1002	1054720
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	57.73982	1	352440
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	57.37622	21	352440
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	57.61221	203	352444
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162774	116748	4.37	173432	44.03998	1	753576
dac2012_superblue14.hgr.random100	reduce8	630802	619815	3.31	121292	112269	3.64	150941	57.58730	1002	352440
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162774	116748	4.37	173432	44.19376	21	753704
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162774	116748	4.37	173432	44.35606	203	753704
dac2012_superblue3.hgr.random100	reduce8	917944	898001	3.46	162774	116748	4.37	173432	44.45398	1002	753704
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211913	215420	3.13	232357	59.01408	1	512216
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211913	215420	3.13	232357	59.08223	21	512008
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.07199	1	18432
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.07148	21	18432
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211913	215420	3.13	232357	59.05851	203	512220
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.07267	203	18432
dac2012_superblue2.hgr.random100	reduce8	1010321	990899	3.26	211913	215420	3.13	232357	59.02965	1002	512216
dictionary28.mtx.hgr.random100	reduce8	52652	39327	4.53	2640	3787	3.42	28711	0.07177	1002	18432
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01591	1	8192
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01175	21	8192
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01216	203	8192
ex19.mtx.hgr.random100	reduce8	12005	12005	21.65	0	0	0.00	985	0.01186	1002	8192
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02994	1	10240
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02738	21	10240
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02687	203	10240
fd18.mtx.hgr.random100	reduce8	16428	16428	3.86	13360	13612	3.83	1024	0.02696	1002	10240
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.10357	1	7168
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.10068	21	7168
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.10062	203	7168
g7jac040sc.mtx.hgr.random100	reduce8	11790	11790	9.73	2061	2256	2.73	2227	0.10186	1002	7168
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.03690	1	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.03606	21	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.03597	203	10240
garon2.mtx.hgr.random100	reduce8	13535	13535	28.86	3647	1451	9.84	7	0.03608	1002	10240
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.38008	1	221184
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.35919	21	221184
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.45028	1	33792
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.30716	203	221184
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.45034	21	33792
IMDB.mtx.hgr.random100	reduce8	896308	303617	12.46	0	0	0.00	138181	2.32427	1002	221184
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.41977	203	33792
ISPD98_ibm11.hgr.random100	reduce8	70558	81454	3.45	34329	33959	3.44	10397	0.42916	1002	33792
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.42948	1	34816
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.44945	21	34816
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.43677	203	34816
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212949	198390	3.37	197073	68.54255	1	717564
ISPD98_ibm12.hgr.random100	reduce8	71076	77240	4.11	25007	23567	3.89	12626	0.43839	1002	34816
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212949	198390	3.37	197073	68.59028	21	716532
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212949	198390	3.37	197073	68.54041	203	717560
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.38385	1	71680
dac2012_superblue6.hgr.random100	reduce8	1011662	1006629	3.37	212949	198390	3.37	197073	68.44553	1002	717560
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.37840	21	71680
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.37849	203	71680
kron_g500-logn16.mtx.hgr.random100.rendered	reduce8	65536	55321	88.80	0	0	0.00	14103	0.39645	1002	71680
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.10066	1	10240
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.09719	21	10240
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.09717	203	10240
lhr14.mtx.hgr.random100	reduce8	14270	14270	21.57	15	16	2.12	4307	0.09515	1002	10240
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.23623	1	40960
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.23187	21	40960
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.23308	203	40960
lp_pds_20.mtx.hgr.random100	reduce8	108175	33798	6.88	60816	16934	7.18	6380	0.23367	1002	40960
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.07467	1	20480
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	3.98476	1	222208
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	63.71851	1	871872
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	63.24973	21	871872
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.07458	21	20480
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	3.99974	21	222208
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	64.15476	203	871872
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	3.94155	203	222208
dac2012_superblue7.hgr.random100	reduce8	1360217	1340418	3.68	150771	122825	3.79	257673	63.29753	1002	871872
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.07471	203	20480
m14b.mtx.hgr.random100	reduce8	214765	214765	15.64	180553	199145	13.19	0	3.96650	1002	222208
msc10848.mtx.hgr.random100	reduce8	10848	10848	113.36	121	113	2.91	42	0.07375	1002	20480
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05741	1	10240
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05208	21	10240
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05277	203	10240
mult_dcop_01.mtx.hgr.random100.rendered	reduce8	25187	25187	7.67	0	0	0.00	1540	0.05273	1002	10240
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	0.51911	1	75776
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	0.51833	21	75776
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	0.51898	203	75776
NotreDame_actors.mtx.hgr.random100	reduce8	127823	383640	3.83	10770	14952	3.37	17457	0.51710	1002	75776
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	1.29017	1	69632
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	1.30883	21	69632
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	1.30272	203	69632
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01325	1	7168
pdb1HYS.mtx.hgr.random100	reduce8	36417	36417	119.31	6899	8619	29.10	17	1.30126	1002	69632
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01219	21	7168
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01224	203	7168
poli3.mtx.hgr.random100	reduce8	16955	16955	2.23	0	0	0.00	3523	0.01223	1002	7168
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01600	1	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.00850	21	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01385	203	8192
psse2.mtx.hgr.random100	reduce8	11028	28634	4.03	18	18	2.00	3089	0.01411	1002	8192
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171201	7.12	454	2.29099	1	173056
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171201	7.12	454	2.28813	21	173056
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.09527	1	27648
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171201	7.12	454	2.28104	203	173056
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.09471	21	27648
rgg_n_2_18_s0.mtx.hgr.random100	reduce8	262144	262141	11.80	150322	171201	7.12	454	2.27609	1002	173056
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.09483	203	27648
sat14_6s11-opt.cnf.hgr.random100	reduce8	66552	97312	2.33	4354	5308	2.10	28189	0.09386	1002	27648
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17603	1	29696
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17523	21	29696
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17651	203	29696
sat14_6s12.cnf.hgr.random100	reduce8	68066	99580	2.33	10360	13150	2.10	26253	0.17527	1002	29696
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15426	1	39936
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15388	21	39936
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15523	203	39936
sat14_6s130-opt.cnf.hgr.random100	reduce8	98654	144361	2.33	5623	7075	2.06	42996	0.15371	1002	39936
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.14998	1	31744
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.15174	21	31744
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.15144	203	31744
sat14_6s130-opt.cnf.primal.hgr.random100	reduce8	49327	144361	2.33	20587	20693	2.53	10008	0.15038	1002	31744
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.14896	1	30720
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.14990	21	30720
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.14757	203	30720
sat14_6s133.cnf.primal.hgr.random100	reduce8	48215	140968	2.33	21995	22143	2.50	8986	0.14791	1002	30720
