graph	algo	n	m	e	rn	rm	re	offset	time	seed
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce11	386163	14636	112.93	126654	10519	42.66	1958	68.80108	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce5	386163	14636	112.93	379948	14271	114.40	2	19.70994	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce6	386163	14636	112.93	385934	14498	113.93	83	23.83098	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce1	386163	14636	112.93	386163	14618	113.06	0	0.05454	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce13	386163	14636	112.93	126654	10519	42.66	1958	68.54371	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce2	386163	14636	112.93	385886	14482	114.05	99	0.06062	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce3	386163	14636	112.93	386163	14599	113.21	0	0.05962	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce14	386163	14636	112.93	126654	10519	42.66	1958	66.09907	21
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce4	386163	14636	112.93	304674	13351	91.50	663	2.48193	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce15	386163	14636	112.93	303592	13351	91.33	664	16.36111	203
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce5	386163	14636	112.93	379948	14271	114.40	2	19.75944	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce6	386163	14636	112.93	385934	14498	113.93	83	24.89523	1002
sat14_atco_enc1_opt2_05_4.cnf.dual.hgr.random100	reduce8	386163	14636	112.93	126654	10519	42.66	1958	70.29611	203
