graph	algo	n	m	e	rn	rm	re	offset	time	seed
sat14_6s184.cnf.hgr.random100	reduce1	66730	97516	2.33	66730	97515	2.33	0	0.01331	1002
sat14_6s184.cnf.hgr.random100	reduce2	66730	97516	2.33	64969	95752	2.33	587	0.01292	1002
sat14_6s184.cnf.hgr.random100	reduce3	66730	97516	2.33	66730	97515	2.33	0	0.02182	1002
sat14_6s184.cnf.hgr.random100	reduce4	66730	97516	2.33	64942	94178	2.32	593	0.02140	1002
sat14_6s184.cnf.hgr.random100	reduce5	66730	97516	2.33	66117	96557	2.32	0	0.03913	1002
sat14_6s184.cnf.hgr.random100	reduce6	66730	97516	2.33	64957	95740	2.33	593	0.03483	1002
sat14_6s184.cnf.hgr.random100	reduce7	66730	97516	2.33	38537	18596	2.17	0	0.29517	1002
sat14_6s184.cnf.hgr.random100	reduce8	66730	97516	2.33	10980	13984	2.14	25420	0.13724	1002
sat14_6s184.cnf.hgr.random100	reduce9	66730	97516	2.33	10980	13984	2.14	25420	0.13465	1002
sat14_6s184.cnf.hgr.random100	reduce10	66730	97516	2.33	10996	13998	2.14	25414	0.19306	1002
sat14_6s184.cnf.hgr.random100	reduce11	66730	97516	2.33	10980	13984	2.14	25420	0.12850	1002
sat14_6s184.cnf.hgr.random100	reduce12	66730	97516	2.33	10980	13984	2.14	25420	0.13174	1002
sat14_6s184.cnf.hgr.random100	reduce13	66730	97516	2.33	11066	14070	2.14	25377	0.26911	1002
sat14_6s184.cnf.hgr.random100	reduce14	66730	97516	2.33	11060	14126	2.14	25372	0.12812	1002
sat14_6s184.cnf.hgr.random100	reduce15	66730	97516	2.33	47820	64943	2.28	8532	0.06624	1002
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce1	1632906	381708	10.06	1632906	381708	10.06	0	0.20687	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce2	1632906	381708	10.06	1442767	368559	9.36	13149	0.25602	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce3	1632906	381708	10.06	1632906	381708	10.06	0	0.24394	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce4	1632906	381708	10.06	1037498	368559	5.63	13149	0.87363	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce6	1632906	381708	10.06	1442767	368559	9.36	13149	3.32684	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce5	1632906	381708	10.06	1063796	381708	5.54	0	4.64744	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce8	1632906	381708	10.06	1037403	368559	5.63	13149	4.55057	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce7	1632906	381708	10.06	1050552	368559	5.63	0	5.87820	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce9	1632906	381708	10.06	1037403	368559	5.63	13149	4.50935	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce10	1632906	381708	10.06	1037403	368559	5.63	13149	4.69927	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce11	1632906	381708	10.06	1037403	368559	5.63	13149	4.39483	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce1	1632906	381708	10.06	1632906	381708	10.06	0	0.19995	21
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce13	1632906	381708	10.06	1037403	368559	5.63	13149	3.50547	1
sat14_ACG-20-10p1.cnf.dual.hgr.random100	reduce2	1632906	381708	10.06	1442767	368559	9.36	13149	0.25076	21
